epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,136.184,0.71971,0.47859,0.85762,0.97181,0.96335,0.9895,0.86776,0.62571,0.42568,0.82873,0.00935741,0.00935741,0.00935741
43,139.427,0.74956,0.50122,0.86863,0.98069,0.98723,0.99407,0.89464,0.54452,0.37792,0.81854,0.00932642,0.00932642,0.00932642
44,142.522,0.83034,0.5714,0.92054,0.97916,0.99545,0.99491,0.90579,0.57969,0.41037,0.8229,0.00929476,0.00929476,0.00929476
45,145.763,0.70924,0.47177,0.87487,0.97763,0.99545,0.99231,0.8833,0.52716,0.39119,0.81163,0.00926242,0.00926242,0.00926242
46,149.026,0.66743,0.49144,0.86489,0.98033,0.99545,0.99496,0.90662,0.51582,0.38571,0.80682,0.00922942,0.00922942,0.00922942
47,152.391,0.66429,0.49478,0.86392,0.97484,0.99545,0.99407,0.89715,0.50713,0.39478,0.8017,0.00919576,0.00919576,0.00919576
48,155.745,0.67436,0.47478,0.86479,0.97539,0.99716,0.99412,0.88295,0.55957,0.40249,0.81114,0.00916145,0.00916145,0.00916145
49,158.828,0.6562,0.46666,0.87086,0.97278,0.96824,0.99132,0.89297,0.51168,0.38153,0.80932,0.00912649,0.00912649,0.00912649
50,161.935,0.65005,0.41792,0.85292,0.9721,0.96928,0.99258,0.86717,0.56316,0.39416,0.81514,0.00909088,0.00909088,0.00909088
51,164.941,0.66932,0.43885,0.87107,0.97906,0.99607,0.99412,0.87919,0.59222,0.39919,0.8159,0.00905463,0.00905463,0.00905463
52,168.08,0.68286,0.45168,0.85748,0.97498,0.99836,0.99324,0.86366,0.55654,0.4022,0.82004,0.00901776,0.00901776,0.00901776
53,171.246,0.64146,0.44896,0.85427,0.97463,0.99277,0.99324,0.90134,0.56168,0.40089,0.8244,0.00898025,0.00898025,0.00898025
